0	8
0	1
7	12
7	16
7	17
8	12
8	16
8	17
9	12
9	16
9	17
10	12
10	16
10	17
11	2
11	10
11	12
11	16
11	17
12	2
12	10
13	16
13	17
13	12
13	10
14	16
14	17
14	12
14	10
15	2
15	10
15	12
15	16
15	17
16	10
16	12
16	16
16	17
17	10
17	12
17	16
17	17
17	6
18	2
18	10
18	12
18	16
18	17
19	10
19	16
19	17
19	12
19	3
20	2
20	10
21	2
21	10
22	2
22	10
23	5
24	10
24	12
24	16
24	17
24	2
25	2
25	10
26	2
26	10
26	12
26	16
26	17
27	12
27	16
27	17
28	10
28	12
28	16
29	11
29	2
29	10
29	12
29	16
30	2
30	10
30	12
30	16
30	5
31	10
31	12
31	16
32	2
32	10
32	12
32	16
32	5
33	2
33	10
33	12
33	16
34	10
34	12
34	16
35	2
35	10
35	12
35	16
36	10
36	12
36	16
38	10
38	12
38	16
39	10
39	12
39	16
42	10
42	12
42	16
43	10
43	12
43	16
44	2
44	10
46	10
46	12
46	16
47	10
47	12
47	16
48	10
48	12
48	16
49	10
49	12
49	16
50	2
50	10
50	12
50	16
51	10
51	12
51	16
52	10
52	12
52	16
53	2
53	10
54	10
54	12
54	16
55	2
55	10
56	2
56	10
56	12
56	16
57	10
57	12
57	16
58	10
58	12
58	16
59	10
59	12
59	16
60	10
60	12
60	16
61	10
61	12
61	16
62	2
62	10
63	10
63	12
63	16
64	2
64	10
65	2
65	10
66	10
66	12
66	16
67	2
67	10
67	12
67	16
68	2
68	10
69	2
69	10
70	2
70	10
71	10
71	12
71	16
73	2
73	10
74	10
74	12
74	16
75	10
75	12
75	16
77	10
77	12
77	16
78	10
78	12
78	16
79	10
79	12
79	16
85	10
85	12
85	16
90	10
90	12
90	16
93	10
93	12
93	16
94	3
94	2
96	3
96	2
97	10
97	12
97	16
98	10
98	12
98	16
99	10
99	12
99	16
100	10
100	12
100	16
101	10
101	12
101	16
102	10
102	12
102	16
103	10
103	12
103	16
104	10
104	12
104	16
105	10
105	12
105	16
106	10
106	12
106	16
108	10
108	12
108	16
109	10
109	12
109	16
110	10
110	12
110	16
111	10
111	12
111	16
112	10
112	12
112	16
114	10
114	12
114	16
115	10
115	12
115	16
