1	1	8
2	1	1
3	8	12
4	8	16
5	8	17
6	9	12
7	9	16
8	9	17
9	10	12
10	10	16
11	10	17
12	11	12
13	11	16
14	11	17
15	12	2
16	12	10
17	12	12
18	12	16
19	12	17
20	13	2
21	13	10
22	14	16
23	14	17
24	14	12
25	14	10
26	15	16
27	15	17
28	15	12
29	15	10
30	16	2
31	16	10
32	16	12
33	16	16
34	16	17
35	17	10
36	17	12
37	17	16
38	17	17
39	18	10
40	18	12
41	18	16
42	18	17
43	18	6
44	19	2
45	19	10
46	19	12
47	19	16
48	19	17
49	20	10
50	20	16
51	20	17
52	20	12
53	20	3
54	21	2
55	21	10
56	22	2
57	22	10
58	23	2
59	23	10
60	24	5
61	25	10
62	25	12
63	25	16
64	25	17
65	25	2
66	26	2
67	26	10
68	27	2
69	27	10
70	27	12
71	27	16
72	27	17
73	28	12
74	28	16
75	28	17
76	29	10
77	29	12
78	29	16
79	30	11
80	30	2
81	30	10
82	30	12
83	30	16
84	31	2
85	31	10
86	31	12
87	31	16
88	31	5
89	32	10
90	32	12
91	32	16
92	33	2
93	33	10
94	33	12
95	33	16
96	33	5
97	34	2
98	34	10
99	34	12
100	34	16
101	35	10
102	35	12
103	35	16
104	36	2
105	36	10
106	36	12
107	36	16
108	37	10
109	37	12
110	37	16
111	39	10
112	39	12
113	39	16
114	40	10
115	40	12
116	40	16
117	43	10
118	43	12
119	43	16
120	44	10
121	44	12
122	44	16
123	45	2
124	45	10
125	47	10
126	47	12
127	47	16
128	48	10
129	48	12
130	48	16
131	49	10
132	49	12
133	49	16
134	50	10
135	50	12
136	50	16
137	51	2
138	51	10
139	51	12
140	51	16
141	52	10
142	52	12
143	52	16
144	53	10
145	53	12
146	53	16
147	54	2
148	54	10
149	55	10
150	55	12
151	55	16
152	56	2
153	56	10
154	57	2
155	57	10
156	57	12
157	57	16
158	58	10
159	58	12
160	58	16
161	59	10
162	59	12
163	59	16
164	60	10
165	60	12
166	60	16
167	61	10
168	61	12
169	61	16
170	62	10
171	62	12
172	62	16
173	63	2
174	63	10
175	64	10
176	64	12
177	64	16
178	65	2
179	65	10
180	66	2
181	66	10
182	67	10
183	67	12
184	67	16
185	68	2
186	68	10
187	68	12
188	68	16
189	69	2
190	69	10
191	70	2
192	70	10
193	71	2
194	71	10
195	72	10
196	72	12
197	72	16
198	74	2
199	74	10
200	75	10
201	75	12
202	75	16
203	76	10
204	76	12
205	76	16
206	78	10
207	78	12
208	78	16
209	79	10
210	79	12
211	79	16
212	80	10
213	80	12
214	80	16
215	86	10
216	86	12
217	86	16
218	91	10
219	91	12
220	91	16
221	94	10
222	94	12
223	94	16
224	95	3
225	95	2
226	97	3
227	97	2
228	98	10
229	98	12
230	98	16
231	99	10
232	99	12
233	99	16
234	100	10
235	100	12
236	100	16
237	101	10
238	101	12
239	101	16
240	102	10
241	102	12
242	102	16
243	103	10
244	103	12
245	103	16
246	104	10
247	104	12
248	104	16
249	105	10
250	105	12
251	105	16
252	106	10
253	106	12
254	106	16
255	107	10
256	107	12
257	107	16
258	109	10
259	109	12
260	109	16
261	110	10
262	110	12
263	110	16
264	111	10
265	111	12
266	111	16
267	112	10
268	112	12
269	112	16
270	113	10
271	113	12
272	113	16
273	115	10
274	115	12
275	115	16
276	116	10
277	116	12
278	116	16
