0	9
1	12
2	2
3	12
4	2
5	12
6	11
7	2
8	2
9	12
10	11
11	2
12	4
13	2
13	10
14	2
15	13
15	2
16	11
17	8
17	10
18	2
18	13
19	2
20	4
20	8
21	4
21	8
22	4
22	8
23	8
24	11
25	4
25	8
26	2
26	13
27	8
28	8
29	12
30	8
31	11
32	8
33	2
34	11
35	2
35	13
36	11
38	11
39	11
40	8
40	10
41	8
41	10
42	11
43	11
44	4
44	8
46	11
47	11
48	11
49	11
50	9
51	11
52	11
53	4
53	8
54	11
55	4
55	8
56	2
57	11
58	11
59	11
60	11
61	11
62	4
62	8
63	11
64	4
64	8
65	4
65	8
66	11
67	2
68	4
68	8
69	4
69	8
70	4
70	8
71	11
72	8
73	4
73	8
74	11
75	11
76	6
76	5
77	11
78	11
79	11
80	6
80	5
80	12
81	6
81	5
82	6
82	5
83	6
83	5
83	7
84	10
85	11
86	6
86	5
87	6
87	5
88	6
88	5
89	6
89	5
90	11
91	6
91	5
92	6
92	5
93	11
94	1
95	6
95	5
96	1
97	11
98	11
99	11
100	11
101	11
102	11
103	11
104	11
105	11
106	11
107	4
107	10
108	11
109	11
110	11
111	11
112	11
113	6
113	5
114	11
115	11
